MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWALPHA_diff2,btn_color
2457996,16359,3509040,1463067.75485,-2441637,-16760576,20044,949,16303,8262.0916238,3492681,16759140,16759791,354,23851,7894941.89937,-19095,-7181,16750505,16777166,16768083,11066.9472555,15354,19508,1
16752474,684804,1334450,7425986.82719,-16067670,16757977,8025,16755748,17650,7892684.67903,649646,-16764846,23153,16749383,11993,7887452.19088,16747723,16731807,3839,82964,3374,37409.9659182,-16738098,-16734552,1
1299204,981456,199946,461891.019153,-317748,-16758791,7706,4954,6864,1151.35514359,-781510,5484,20928,3672,20423,8018.17769543,-2752,-16772231,18520,4662,2198,7184.26632765,1910,2596,1
63711,202144,279849,89391.3975217,138433,-2326,4605,4976,14856,4747.33892711,77705,1365,14349,3382,9050,4478.10369092,371,-8050,3234,1501,21315,8959.91347924,9880,12693,2
16748113,103720,671334,7715934.64495,-16644393,2604,4742,11298,18614,5666.05267262,567614,11963,3961,9040,16758113,7896786.13526,6556,5683,6252,23145,20451,7410.52319341,7316,16742564,2
1332649,380391,16773428,7513366.70733,-952258,-899,16755304,7946,2827,7895987.10893,16393037,-16205,16755940,16775695,15324,7896262.48,-16747358,-16741154,33165,92029,1783,37407.8734077,-5119,-10205,2
16747275,16761533,16752794,5870.075203,14258,-11037,5925,6058,16762199,7898951.967,-8739,9260,16744959,6646,16758044,7893602.39025,133,-24230,10039,1949,10491,3924.54056759,16756141,16748967,2
14395,260374,16747892,7830912.23094,245979,-29459,5427,10245,827,3845.22572665,16487518,-2438,28177,6663,1076,11683.4686916,4818,-6577,21764,9935,731,8608.94848399,-9418,-6755,2
196636,488101,535345,149780.442442,291465,7344,5548,8620,16759309,7897074.69789,47244,16736331,8887,30194,16768951,7895752.62177,3072,16741382,27131,81798,15488,28908.0081907,16750689,18750,1
1080896,27522,131518,473958.570479,-1053374,-3946,14223,2563,30905,11630.9629295,103996,20381,27986,4956,21884,9742.07648411,-11660,-14364,32404,3097,23278,12244.984851,28342,10199,1
142976,651926,417341,207989.416918,508950,16730193,17294,16749587,16760241,7890190.93411,-234585,-16730400,16744469,18048,31158,7881822.2366,16732293,16733795,13807,67028,5498,27258.9541293,10654,-16723365,1
24189,18151,88878,32012.9013819,-6038,16766595,5644,2498,1748,1687.82015893,70727,-16765024,4662,16769337,12902,7901002.1141,-3146,16735717,2577,16746057,8014,7891670.96474,-750,-16737066,1
78805,970877,703691,373818.631718,892072,10742,2627,72126,10856,31005.0898008,-267186,-10838,7422,67312,11004,27427.1432628,69499,16744143,4869,18625,16746964,7889058.94906,-61270,-16742639,1
26580,653203,386714,256768.219997,626623,19774,2337,22221,12245,8117.62483051,-266489,-9146,7186,9731,16748455,7891310.09652,19884,9622,1241,16760706,2501,7900190.59894,-9976,2807,2
669336,252620,16747676,7679507.66523,-416716,16162,21672,29329,13340,6529.42054601,16495056,-21857,30542,27996,16763725,7888698.27985,7657,-16732856,14186,8342,28843,8623.42408147,-15989,2325,2
723890,119161,79720,294808.364276,-604729,1356,2879,10555,1869,3878.54027524,-39441,-15832,16748953,16746872,1428,7894368.54637,7676,-16729450,7484,26440,2573,10290.6729399,-8686,-22315,2
93821,4304,86531,40589.7043842,-89517,7989,923,21707,2157,9520.15354685,82227,-4018,2767,16750836,12324,7892863.79895,20784,27377,1797,9293,1476,3611.68698656,-19550,-21891,2
60132,1633001,280607,695341.294939,1572869,6225,7023,16759234,10125,7896336.95178,-1352394,-5663,6189,16761867,20087,7895428.60678,16752211,16759837,750,31829,5384,13689.883621,-16749109,-16750253,1
345505,51410,312289,131509.621246,-294095,17306,39627,16768737,21551,7890442.08769,260879,-16689565,16750875,22810,24224,7885352.20322,16729110,8337,69707,16761532,31283,7877674.00694,-16747186,-1859,1
491756,40128,2074375,872213.761169,-451628,-21058,10423,3603,16757229,7896128.0375,2034247,11745,25125,12127,16753091,7888704.23872,-6820,-16736276,16752187,7525,94789,7873021.6466,16753626,16747952,1
595662,85263,387935,209567.80534,-510399,-5564,4230,3675,7256,1573.68152927,302672,-6844,29659,10831,13481,8321.61688349,-555,-16741710,13410,1941,11130,4957.30753535,3581,-6191,1
591517,41006,29906,262168.835855,-550511,-17304,16746489,2430,3182,7893047.86686,-11100,2538,16763419,14407,7283,7897239.65403,-16744059,-8307,21443,4762,3943,8063.47403763,752,8025,1
23966,648709,521187,269525.17907,624743,16723375,18340,18247,3381,7029.92244307,-127522,-16739970,16750611,23622,16038,7886966.40749,-93,12530,20273,16759803,20186,7891110.62409,-14866,-12603,2
22639,11927,16063,4410.81015486,-10712,-3961,11860,13689,6773,2926.01105033,4136,-14282,27399,16757891,32313,7885671.57813,1829,10887,9775,16746050,7078,7890191.46202,-6916,16727878,2
27368,542273,128297,222782.891484,514905,-4232,22657,16214,1580,8818.57971684,-413976,-4942,23520,16759766,14167,7891747.47245,-6443,-6301,13231,16721,3049,5800.16099393,-14634,-6992,2
138088,311554,112702,88366.044293,173466,25265,4527,14832,10020,4210.05961953,-198852,-23684,8544,16764057,7809,7898797.82323,10305,14286,6723,163283,16752042,7857177.50146,-4812,-3644,2
799452,1633929,271474,560891.775958,834477,16744906,51460,95759,1242,38611.6162918,-1362455,-16771431,16755017,72005,6708,7879883.01838,44299,16746100,16758957,91788,3494,7877872.37668,-94517,-16765012,1
43723,61940,444484,184776.486643,18217,-5108,3674,6679,12461,3646.5039269,382544,8052,7047,8730,16747028,7890906.06436,3005,1451,4102,5611,1672,1622.67618458,5782,16750674,1
28328,395743,1549144,647920.515948,367415,-16730177,20158,27751,16744881,7882320.95344,1153401,16732270,72226,23471,71976,22924.629041,7593,3111,15325,19541,10447,3715.88745195,16717130,16740536,1
552125,670912,70903,259421.528434,118787,-10583,16749071,16759248,5495,7895397.25567,-600009,-9218,22859,16754844,3584,7892080.45486,10177,16731824,30962,16744987,966,7886146.57844,-16753753,-16761599,1
594861,286336,393594,127888.996781,-308525,16730084,1765,14513,2755,5790.24244359,107258,-16745255,9656,16749555,3333,7892754.8337,12748,-8386,21658,16191,16235,2566.86046887,-11758,-5970,2
865545,532736,208658,268180.890722,-332809,-16174,14041,17338,31373,7514.79768339,-324078,-3529,16754265,23638,8414,7890483.98246,3297,-20329,49580,15440,13533,16561.5433325,14035,-9500,1
151958,226899,12362,88900.2693822,74941,19544,49309,16764481,173176,7850574.78169,-214537,-13874,17506,14234,21209,2849.34335515,16715172,63,9249,16759541,30500,7891159.23374,-16591305,-1973,1
72452,9344,78251,31206.1651922,-63108,-4566,98090,208220,28500,73989.9868601,68907,-6367,18509,16225,5615,5617.86823943,110130,1974,2197,4131,8354,2570.83501351,-179720,-5575,1
1620202,213829,5123,717241.892081,-1406373,3764,29137,16754166,36929,7882418.33083,-208706,-218,15683,13850,14999,756.302849393,16725029,-2810,17028,5543,156897,68801.869889,-16717237,1753,2
377044,9998,4064,174442.623127,-367046,-5910,76335,87926,16753793,7859098.49619,-5934,6257,10609,11629,10564,491.782472237,11591,2944,22683,16748684,21251,7885050.03346,16665867,2031,2
16762548,1314836,407314,7505176.59434,-15447712,16753291,7171,20821,8068,6234.01170997,-907522,-16752823,12494,75180,12379,29577.606811,13650,18867,18247,16745851,8304,7887812.77965,-12753,7989,1
424276,704962,939197,210500.541583,280686,7743,13218,28083,7341,8728.86602028,234235,16721796,13816,18153,16751267,7889088.0259,14865,12192,5371,3729,6566,1162.98265966,-20742,16724656,2
378630,1266321,158252,478931.528756,887691,16765887,604,16767285,4629,7902940.69129,-1108069,-16765495,1447,16752143,7424,7894945.40547,16766681,7399,516,6233,6136,2672.44993717,-16762656,-3256,1
1376231,2173496,2621174,514881.879135,797265,-16683798,16748813,16761787,16769093,8386.3693111,447678,6906,16776241,16769769,77262,7870449.17167,12974,16613897,607981,16758881,148803,7724111.64552,7306,28717,1
692653,3565686,1189312,1253800.54099,2873033,16747753,9362,20697,21108,5442.83077901,-2376374,-16728493,19660,16756536,133000,7863260.65629,11335,16755055,26630,16769113,157765,7861755.64059,411,-14759,1
190327,756797,3880610,1622661.89194,566470,12949,1999,8492,25157,9753.48506375,3123813,-5101,2405,20421,13159,7400.9114754,6493,549,3510,2244,18641,7449.17240743,16665,14593,2
643700,1252057,202749,430191.598491,608357,7535,12395,10025,66837,26240.6631183,-1049308,-2423,16768793,16744893,18559,7890508.78056,-2370,4645,4758,26116,69104,26759.2974995,56812,-4883,2
1266776,862534,729066,228608.677216,-404242,-16741914,19122,19783,17200,1095.59187454,-133468,10654,16744524,69892,25239,7871042.83037,661,-2482,20345,11903,15952,3447.38570836,-2583,-8251,2
602275,1054169,1512445,371578.391357,451894,-5570,30896,11296,57575,18966.8567126,458276,24454,23498,15987,79485,28329.3238222,-19600,-13029,16762468,15530,16755750,7892999.31131,46279,16767232,2
54455,865237,1960364,780965.194411,810782,2611,962,27536,6554,11439.1737464,1095127,2706,1029,16751984,21416,7891675.04149,26574,21463,1433,30049,6150,12526.8056849,-20982,-8543,2
2972698,1086017,149625,1174078.18861,-1886681,-7548,16754095,12404,6521,7893495.82487,-936392,-16749158,16752041,10175,5581,7893274.35788,-16741691,-24380,31891,16862,2511,11995.3993125,-5883,1911,1
2071404,225896,729561,778896.715941,-1845508,-16748751,86240,14138,3124,36860.5119275,503665,-4268,16763521,16805,6934,7896805.27604,-72102,-19222,137261,16749077,8099,7861505.77912,-11014,-16747734,1
406657,125025,386030,128177.683349,-281632,-19965,15034,3944,25159,8663.97362005,261005,16619,17154,4047,20678,7155.43450036,-11090,-113,4269,2072,16760491,7899476.69096,21215,4275,1
1621940,1281444,1332074,150008.600076,-340496,-7848,28833,16759894,96072,7871297.27354,50630,69030,18586,27931,16772162,7895509.74991,16731061,8351,20212,14326,185371,79280.4671909,-16663822,16731141,1
71855,341108,2377880,1029492.25126,269253,-1017,7785,4255,16744521,7890605.17427,2036772,5134,4717,5979,16276,5177.20789186,-3530,-475,8322,525,30214,12567.5490141,16740266,22597,1
2317943,683143,1501772,667404.556712,-1634800,-13218,37324,84577,19908,27321.6288477,818629,-66592,16772254,94582,16845,7880316.66833,47253,15600,16767400,23439,19929,7894006.35634,-64669,-16764914,1
1293946,1597264,1463712,124122.89635,303318,16751407,13350,9122,253906,114408.756355,-133552,-16719469,21806,88829,91935,32351.895713,-4228,81010,13234,9939,413345,189395.550277,244784,16669450,2
16762147,1772353,1208658,7202798.03879,-14989794,16750496,217,236981,23223,106603.601303,-563695,-16739057,1209,106363,16745663,7868743.38134,236764,65452,1155,205752,3861,95816.509089,-213758,-50095,2
112224,68453,1343900,591204.675897,-43771,-24683,20140,5511,16762702,7895969.76341,1275447,16768125,82917,2099,16777006,7888787.0068,-14629,-34337,16755826,726,162234,7860638.62479,16757191,74704,2
664671,88318,1498071,578709.470538,-576353,-21495,83612,14244,89759,34241.3334664,1409753,6511,134732,17357,35616,51569.0078783,-69368,-50849,125794,9710,140364,58460.0981411,75515,16746289,2
147241,129881,205619,32396.1676883,-17360,5008,3399,1876,923,1019.71205086,75738,-5527,5619,8624,904,3177.3442789,-1523,624,7760,2952,873,2884.24598273,-953,-4785,2
1269812,1248640,141518,526963.495141,-21172,-3384,25854,1542,10417,10045.1200867,-1107122,-10122,22915,12878,24360,5106.26758667,-24312,-6053,16776301,4275,3530,7906584.48326,8875,-89,1
637128,54590,304351,238623.741553,-582538,-11109,3906,4039,16751442,7894832.8343,249761,17271,14060,4786,18033,5550.52363896,133,-12232,16768110,3564,22771,7898359.53235,16747403,2394,1
106532,1938377,263159,829092.105102,1831845,8277,267,11991,7901,4858.64901204,-1675218,2596,1288,25745,21108,10606.4918171,11724,14785,1096,96733,16751409,7873728.2197,-4090,2281,1
1071160,1209367,1442392,153193.78552,138207,48825,2998,16007,3756,5961.87559973,233025,-51260,19787,16768131,16744764,7889743.1898,13009,16737022,7473,86829,22297,34450.4551429,-12251,-16738495,1
1232979,126320,532824,457062.683316,-1106659,-19613,16770912,5413,4720,7903495.36865,406504,4027,16750969,6593,23721,7889340.53469,-16765499,-16770206,45320,4356,16749658,7884173.49391,-693,24275,1
1275177,1212584,2000984,357815.632988,-62593,-16584,60517,16753928,155926,7846957.96743,788400,-4009,16771894,16772930,16762021,4916.58989771,16693411,-16724052,73052,17103,59830,23876.3211711,-16598002,-1652,2
